#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,λ_mean(μm),λ_pivot(μm),λ_eff(μm),λ_n(Rieke)(μm),λ_n(Reach)(μm),λ_iso(Rieke)(μm),λ_iso(BM12)(μm),λ_range(μm),Bandwidth(μm),FWHM(μm),Response,zp,f_λ(zp)(ergsec^-1cm^-2(Å)^-1),f_ν(zp)(Jy)
MIRI_F770W,7.6669,7.6428,7.5260,7.7145,7.6188,7.5950,7.5977,2.4617,1.9647,2.1026,0.2962,31.1385,3.50433E-13,68.28
MIRI_F1000W,9.9694,9.9544,9.8806,9.9994,9.9394,9.9255,9.9272,2.4395,1.7910,1.8730,0.2867,32.2809,1.22357E-13,40.44
MIRI_F1130W,11.3111,11.3087,11.2962,11.3161,11.3062,11.3035,11.3050,1.5212,0.7336,0.7128,0.1577,32.8409,7.30515E-14,31.16
MIRI_F1500W,15.0929,15.0651,14.9272,15.1485,15.0373,15.0153,15.0107,4.3004,2.9217,3.1126,0.2387,34.0608,2.37513E-14,17.98
MIRI_F1800W,18.0088,17.9865,17.8760,18.0536,17.9641,17.9332,17.9422,4.7688,2.9569,2.9851,0.2070,34.8322,1.16713E-14,12.59
MIRI_F2100W,20.8425,20.7950,20.5607,20.9372,20.7476,20.7067,20.6991,7.1237,4.5749,4.6813,0.1953,35.4510,6.60100E-15,9.52
MIRI_F2550W,25.4081,25.3639,25.1519,25.4992,25.3197,25.2881,25.2803,8.0027,3.6615,3.4294,0.1019,36.3163,2.97500E-15,6.38
NIRISS_F090W,0.9058,0.9031,0.8985,0.9134,0.9004,0.9071,0.9095,0.2404,0.1833,0.2093,0.5295,22.6748,8.51330E-10,2316.26
NIRISS_F115W,1.1528,1.1499,1.1388,1.1588,1.1470,1.1490,1.1491,0.3180,0.2499,0.2699,0.5486,23.4581,4.13773E-10,1824.86
NIRISS_F140M,1.4054,1.4044,1.4010,1.4075,1.4035,1.4048,1.4034,0.2236,0.1424,0.1481,0.4086,24.2231,2.04526E-10,1345.65
NIRISS_F150W,1.4970,1.4936,1.4797,1.5040,1.4902,1.4907,1.4887,0.4145,0.3160,0.3399,0.4856,24.4520,1.65658E-10,1232.74
NIRISS_F158M,1.5851,1.5825,1.5704,1.5895,1.5799,1.5766,1.5739,0.8980,0.1990,0.2011,0.1222,24.6817,1.34061E-10,1119.85
NIRISS_F200W,1.9979,1.9930,1.9714,2.0077,1.9880,1.9857,1.9865,0.5681,0.4225,0.4741,0.5126,25.5611,5.96423E-11,790.19
NIRISS_F277W,2.7737,2.7641,2.7110,2.7910,2.7545,2.7242,2.7463,2.4443,0.6915,0.7281,0.2001,26.8736,1.78060E-11,453.79
NIRISS_F356W,3.6036,3.5926,3.5326,3.6243,3.5817,3.4346,3.5737,1.1841,0.9093,0.9242,0.5690,27.9544,6.58052E-12,283.31
NIRISS_F380M,3.8258,3.8229,3.7742,3.8284,3.8199,3.3856,3.8125,0.4586,0.2050,0.2056,0.3234,28.2278,5.11523E-12,249.36
NIRISS_F430M,4.2822,4.2792,4.2303,4.2848,4.2762,4.2904,4.2710,0.3414,0.2016,0.2135,0.3908,28.6952,3.32612E-12,203.16
NIRISS_F444W,4.4400,4.4270,4.3587,4.4653,4.4139,3.9705,4.4054,1.4206,1.0923,1.1403,0.5291,28.8293,2.93953E-12,192.16
NIRISS_F480M,4.8147,4.8113,4.7529,4.8181,4.8080,4.8294,4.7985,0.5192,0.2968,0.3026,0.3206,29.1856,2.11727E-12,163.49
ROMAN_F062,0.6340,0.6291,0.6146,0.6434,0.6242,0.6244,0.6277,0.3273,0.2413,0.2742,1.7183,21.5233,2.45854E-09,3245.40
ROMAN_F087,0.8719,0.8696,0.8652,0.8765,0.8673,0.8628,0.8666,0.2852,0.2041,0.2148,2.0178,22.5669,9.40201E-10,2371.58
ROMAN_F106,1.0595,1.0567,1.0465,1.0652,1.0538,1.0544,1.0582,0.3484,0.2634,0.2651,2.1190,23.1517,5.48697E-10,2043.50
ROMAN_F129,1.2936,1.2901,1.2761,1.3005,1.2867,1.2809,1.2863,0.4250,0.3188,0.3225,2.1528,23.8894,2.78127E-10,1544.16
ROMAN_F158,1.5791,1.5749,1.5579,1.5875,1.5706,1.5657,1.5689,0.5182,0.3856,0.3932,2.2251,24.6519,1.37793E-10,1139.97
ROMAN_F146,1.4724,1.4378,1.3057,1.5378,1.4040,1.3907,1.3938,1.1884,1.0310,1.0719,2.6090,24.1898,2.10906E-10,1454.31
ROMAN_F184,1.8418,1.8394,1.8291,1.8466,1.8370,1.8341,1.8377,0.4622,0.3159,0.3167,1.9238,25.2538,7.91520E-11,893.30
ROMAN_F213,2.1255,2.1230,2.1117,2.1306,2.1205,2.1207,2.1196,0.5173,0.3465,0.3491,1.9075,25.8189,4.70381E-11,707.18
OMEGACAM_u,0.3594,0.3590,0.3632,0.3602,0.3585,0.3242,0.3661,0.0851,0.0461,0.0527,0.1078,21.0647,3.75085E-09,1612.09
OMEGACAM_g,0.4751,0.4735,0.4702,0.4783,0.4719,0.3788,0.4771,0.1818,0.1150,0.1317,0.3397,20.6584,5.45315E-09,4077.99
OMEGACAM_r,0.6289,0.6276,0.6233,0.6316,0.6263,0.6260,0.6264,0.1963,0.1275,0.1351,0.3237,21.5293,2.44507E-09,3212.63
OMEGACAM_i,0.7508,0.7495,0.7453,0.7535,0.7482,0.7504,0.7491,0.2451,0.1143,0.1258,0.1920,22.1133,1.42790E-09,2675.72
OMEGACAM_z,0.8847,0.8842,0.8840,0.8856,0.8837,0.8822,0.8833,0.1677,0.0606,0.0530,0.0945,22.6336,8.84201E-10,2305.75
VIRCAM_Z,0.8950,0.8899,0.8815,0.9252,0.8849,0.8903,0.8975,1.4202,0.0929,0.0973,0.0477,22.6456,8.74504E-10,2310.18
VIRCAM_Y,1.0274,1.0253,1.0204,1.0363,1.0232,1.0250,1.0287,0.3265,0.0905,0.0924,0.1933,23.0396,6.08351E-10,2133.31
VIRCAM_J,1.2549,1.2535,1.2480,1.2586,1.2520,1.2502,1.2539,0.2619,0.1624,0.1720,0.4769,23.7910,3.04518E-10,1595.92
VIRCAM_H,1.6453,1.6430,1.6339,1.6499,1.6407,1.6374,1.6373,0.4530,0.2797,0.2905,0.5340,24.8212,1.17897E-10,1061.59
VIRCAM_Ks,2.1521,2.1494,2.1349,2.1567,2.1468,2.1840,2.1417,1.3215,0.2894,0.3078,0.1869,25.8668,4.50069E-11,693.60
ISAAC_Ks,2.1649,2.1620,2.1492,2.1719,2.1591,2.1614,2.1469,2.2248,0.2741,0.2746,0.1085,25.8918,4.39845E-11,685.79
HAWKI_Y,1.0253,1.0233,1.0187,1.0342,1.0213,1.0225,1.0263,2.0658,0.1021,0.1013,4.6273,23.0313,6.13041E-10,2141.18
HAWKI_J,1.2584,1.2575,1.2539,1.2601,1.2567,1.2545,1.2567,0.2971,0.1525,0.1541,46.5846,23.8067,3.00146E-10,1583.28
HAWKI_H,1.6206,1.6184,1.6096,1.6250,1.6162,1.6137,1.6155,0.4444,0.2862,0.2901,63.0600,24.7656,1.24100E-10,1084.19
HAWKI_Ks,2.1483,2.1461,2.1355,2.1527,2.1438,2.3917,2.1390,1.8630,0.3153,0.3249,14.3844,25.8620,4.52074E-11,694.49
SkyMapper_u,0.3616,0.3590,0.3685,0.3696,0.3565,0.3475,0.3267,0.4341,0.0456,0.0431,0.1040,21.1729,3.39505E-09,1459.58
SkyMapper_v,0.3837,0.3836,0.3874,0.3841,0.3834,0.3817,0.3831,0.0649,0.0318,0.0310,0.4905,20.6070,5.71726E-09,2805.75
SkyMapper_g,0.5099,0.5075,0.5016,0.5148,0.5051,0.5088,0.5044,0.2595,0.1477,0.1570,0.5693,20.8530,4.55807E-09,3916.05
SkyMapper_r,0.6157,0.6138,0.6078,0.6195,0.6120,0.6131,0.6134,0.2395,0.1524,0.1582,0.6359,21.4523,2.62480E-09,3298.97
SkyMapper_i,0.7778,0.7768,0.7734,0.7799,0.7758,0.7757,0.7750,0.1896,0.1202,0.1400,0.6336,22.2365,1.27465E-09,2565.56
SkyMapper_z,0.9159,0.9143,0.9119,0.9191,0.9128,0.9271,0.9206,0.2445,0.1110,0.0849,0.4540,22.7153,8.20138E-10,2286.99
MMIRS_Y,1.0213,1.0207,1.0189,1.0223,1.0202,1.0212,1.0213,0.1929,0.1039,0.1058,0.3421,23.0261,6.15972E-10,2140.78
MMIRS_J,1.2513,1.2504,1.2465,1.2532,1.2495,1.2480,1.2484,0.2452,0.1565,0.1589,0.3640,23.7844,3.06361E-10,1597.82
MMIRS_H,1.6423,1.6402,1.6321,1.6465,1.6381,1.6358,1.6368,0.3993,0.2776,0.2874,0.4372,24.8159,1.18481E-10,1063.20
MMIRS_K,2.1545,2.1524,2.1432,2.1585,2.1504,2.1489,2.1505,0.5715,0.3054,0.3189,0.2996,25.8750,4.46679E-11,690.29
MMIRS_Kspec,2.0307,1.9099,1.2907,2.1323,1.7964,1.8347,1.7127,2.0206,0.4966,0.5077,0.1659,24.9774,1.02106E-10,1242.43
S-PLUS_uJAVA,0.3541,0.3538,0.3548,0.3547,0.3536,0.3228,0.3633,0.0658,0.0325,0.0330,0.1154,21.2165,3.26127E-09,1362.08
S-PLUS_F378,0.3774,0.3773,0.3784,0.3774,0.3773,0.3779,0.3783,0.0231,0.0137,0.0151,0.1951,20.8381,4.62145E-09,2195.00
S-PLUS_F395,0.3941,0.3941,0.3940,0.3941,0.3941,0.3949,0.3944,0.0173,0.0101,0.0103,0.2577,20.3782,7.05859E-09,3656.56
S-PLUS_fF410,0.4096,0.4095,0.4095,0.4097,0.4095,0.4272,0.4028,0.0310,0.0195,0.0201,0.3293,20.2862,7.68254E-09,4297.83
S-PLUS_fF430,0.4293,0.4292,0.4286,0.4294,0.4292,0.4464,0.4273,0.0318,0.0197,0.0200,0.3459,20.4147,6.82540E-09,4194.76
S-PLUS_gSDSS,0.4789,0.4768,0.4727,0.4830,0.4747,0.4765,0.4844,0.1784,0.1413,0.1536,0.4621,20.6813,5.33946E-09,4048.81
S-PLUS_F515,0.5134,0.5133,0.5132,0.5134,0.5133,0.5133,0.5110,0.0287,0.0205,0.0207,0.4253,20.8750,4.46690E-09,3926.07
S-PLUS_rSDSS,0.6271,0.6257,0.6208,0.6301,0.6242,0.6242,0.6253,0.1839,0.1351,0.1462,0.5260,21.5186,2.46932E-09,3224.30
S-PLUS_F660,0.6614,0.6614,0.6617,0.6614,0.6614,0.6760,0.6614,0.0231,0.0147,0.0147,0.4556,21.7907,1.92185E-09,2804.30
S-PLUS_iSDSS,0.7687,0.7674,0.7631,0.7714,0.7661,0.7681,0.7662,0.2134,0.1394,0.0673,0.4826,22.1936,1.32607E-09,2605.05
S-PLUS_F861,0.8608,0.8608,0.8607,0.8610,0.8607,0.8564,0.8610,0.0616,0.0397,0.0408,0.4008,22.5887,9.21581E-10,2277.59
S-PLUS_zSDSS,0.8951,0.8937,0.8915,0.8981,0.8922,0.8917,0.8944,0.2760,0.1228,0.1072,0.2590,22.6555,8.66527E-10,2308.33
gaia_edr3_G,0.6390,0.6218,0.5832,0.6720,0.6050,0.6701,0.6199,0.7221,0.4416,0.4548,0.4394,21.4806,2.55715E-09,3297.45
gaia_edr3_Bp,0.5183,0.5110,0.5041,0.5320,0.5038,0.3518,0.5249,0.3507,0.2616,0.2659,0.4991,20.9552,4.14861E-09,3613.05
gaia_edr3_Rp,0.7825,0.7769,0.7621,0.7939,0.7713,0.7672,0.7691,0.4512,0.2863,0.2928,0.4720,22.2093,1.30697E-09,2631.34
NIRI_J,1.2663,1.2612,1.2488,1.2884,1.2562,1.2566,1.2588,2.4950,0.1591,0.1630,5.8325,23.8073,2.99981E-10,1591.67
NIRI_H,1.6540,1.6502,1.6376,1.6645,1.6464,1.6485,1.6477,2.4950,0.2827,0.2911,10.0047,24.8348,1.16434E-10,1057.64
NIRI_Ks,2.1688,2.1664,2.1553,2.1740,2.1639,2.1598,2.1554,2.4950,0.2959,0.2965,11.1147,25.9006,4.36287E-11,683.00
NIRI_Kprime,2.1261,2.1232,2.1100,2.1324,2.1202,2.1160,2.1178,2.4950,0.3316,0.3362,12.7870,25.8171,4.71136E-11,708.44
NIRI_Lprime,3.7760,3.7703,3.7432,3.7873,3.7647,3.7583,3.7603,1.3782,0.6837,0.7008,47.3746,28.1702,5.39424E-12,255.78
NIRI_Mprime,4.6711,4.6705,4.6677,4.6723,4.6699,4.6677,4.6687,0.5329,0.2402,0.2411,40.9050,29.0821,2.32895E-12,169.46
